,d_0*,i_0,d_0
168,12.675,1.025201613,4.9158
169,12.794,1.024697581,4.7968
170,12.823,1.024697581,4.7678
171,12.955,1.024193548,4.6358
172,12.979,1.023689516,4.6118
173,13.06,1.023689516,4.5308
174,13.167,1.022681452,4.4238
175,13.253,1.022177419,4.3378
176,13.278,1.022177419,4.3128
177,13.405,1.021169355,4.1858
178,13.43,1.020665323,4.1608
179,13.51,1.020665323,4.0808
180,13.623,1.019153226,3.9678
181,13.658,1.018649194,3.9328
182,13.783,1.017137097,3.8078
183,13.81,1.016633065,3.7808
184,13.893,1.016129032,3.6978
185,13.976,1.015625,3.6148
186,14.079,1.012600806,3.5118
187,14.149,1.01108871,3.4418
188,14.189,1.010584677,3.4018
189,14.273,1.010080645,3.3178
190,14.355,1.009072581,3.2358
191,14.459,1.005040323,3.1318
192,14.49,1.004032258,3.1008
193,14.578,1.003024194,3.0128
194,14.652,1.002016129,2.9388
195,14.761,0.995967742,2.8298
196,14.834,0.993447581,2.7568
197,14.906,0.990927419,2.6848
198,14.926,0.989415323,2.6648
199,15,0.987903226,2.5908
200,15.076,0.984879032,2.5148
201,15.147,0.981350806,2.4438
202,15.214,0.977318548,2.3768
203,15.282,0.973790323,2.3088
204,15.353,0.971270161,2.2378
205,15.425,0.967741935,2.1658
206,15.486,0.962701613,2.1048
207,15.551,0.95766129,2.0398
208,15.61,0.952116935,1.9808
209,15.662,0.944052419,1.9288
210,15.704,0.939516129,1.8868
211,15.771,0.933467742,1.8198
212,15.808,0.927923387,1.7828
213,15.872,0.924899194,1.7188
214,15.922,0.918346774,1.6688
215,15.967,0.907762097,1.6238
216,15.991,0.902217742,1.5998
217,16.046,0.900201613,1.5448
218,16.087,0.890120968,1.5038
219,16.107,0.884072581,1.4838
220,16.152,0.882560484,1.4388
221,16.187,0.876512097,1.4038
222,16.217,0.869959677,1.3738
223,16.248,0.861391129,1.3428
224,16.261,0.856854839,1.3298
225,16.292,0.855846774,1.2988
226,16.317,0.853326613,1.2738
227,16.338,0.847782258,1.2528
228,16.36,0.842237903,1.2308
229,16.38,0.837197581,1.2108
230,16.406,0.826108871,1.1848
231,16.411,0.825100806,1.1798
232,16.429,0.825100806,1.1618
233,16.454,0.825604839,1.1368
234,16.48,0.821068548,1.1108
235,16.498,0.814516129,1.0928
236,16.515,0.808467742,1.0758
237,16.533,0.803427419,1.0578
238,16.556,0.799395161,1.0348
239,16.576,0.793346774,1.0148
240,16.596,0.787802419,0.9948
241,16.616,0.782762097,0.9748
242,16.635,0.777217742,0.9558
243,16.662,0.763608871,0.9288
244,16.665,0.762096774,0.9258
245,16.704,0.760584677,0.8868
246,16.71,0.758568548,0.8808
247,16.739,0.750504032,0.8518
248,16.746,0.746471774,0.8448
249,16.778,0.741431452,0.8128
250,16.784,0.73891129,0.8068
251,16.797,0.737399194,0.7938
252,16.836,0.720766129,0.7548
253,16.843,0.713709677,0.7478
254,16.869,0.712197581,0.7218
255,16.878,0.711693548,0.7128
256,16.906,0.702116935,0.6848
257,16.912,0.699092742,0.6788
258,16.923,0.696572581,0.6678
259,16.942,0.695060484,0.6488
260,16.982,0.668346774,0.6088
261,16.985,0.664818548,0.6058
262,16.987,0.663810484,0.6038
263,16.999,0.662802419,0.5918
264,17.031,0.664818548,0.5598
265,17.057,0.659778226,0.5338
266,17.076,0.64516129,0.5148
267,17.0916,0.628528226,0.4992
268,17.1066,0.612399194,0.4842
269,17.1208,0.602822581,0.47
270,17.1344,0.594758065,0.4564
271,17.1464,0.583165323,0.4444
272,17.1554,0.58266129,0.4354
273,17.1642,0.576612903,0.4266
274,17.172,0.571068548,0.4188
275,17.1792,0.56703629,0.4116
276,17.1856,0.563004032,0.4052
277,17.1918,0.559979839,0.399
278,17.1976,0.55796371,0.3932
279,17.2032,0.554435484,0.3876
280,17.2084,0.551915323,0.3824
281,17.2136,0.550403226,0.3772
282,17.2184,0.546875,0.3724
283,17.2232,0.544858871,0.3676
284,17.2278,0.543346774,0.363
285,17.2322,0.539818548,0.3586
286,17.2364,0.537298387,0.3544
287,17.2404,0.536290323,0.3504
288,17.2444,0.534274194,0.3464
289,17.2482,0.531754032,0.3426
290,17.252,0.529737903,0.3388
291,17.2556,0.528225806,0.3352
292,17.2592,0.52671371,0.3316
293,17.2626,0.524193548,0.3282
294,17.266,0.522177419,0.3248
295,17.2692,0.521673387,0.3216
296,17.2724,0.519657258,0.3184
297,17.2756,0.517137097,0.3152
298,17.2786,0.516129032,0.3122
299,17.2816,0.514616935,0.3092
300,17.2844,0.512600806,0.3064
301,17.2872,0.511592742,0.3036
302,17.29,0.509576613,0.3008
303,17.2928,0.507560484,0.298
304,17.2954,0.507560484,0.2954
305,17.298,0.505544355,0.2928
306,17.3008,0.504032258,0.29
307,17.3034,0.503326613,0.2874
308,17.306,0.500806452,0.2848
309,17.3086,0.500554435,0.2822
310,17.3112,0.499546371,0.2796
311,17.3086,0.499042339,0.2822
312,17.306,0.501108871,0.2848
313,17.3086,0.5015625,0.2822
314,17.3112,0.499092742,0.2796
315,17.3086,0.498739919,0.2822
316,17.3062,0.500655242,0.2846
317,17.3086,0.501764113,0.2822
318,17.3112,0.498991935,0.2796
319,17.3088,0.499193548,0.282
320,17.3062,0.500957661,0.2846
321,17.3088,0.500302419,0.282
322,17.3114,0.498790323,0.2794
323,17.3088,0.498891129,0.282
324,17.3062,0.500453629,0.2846
325,17.3088,0.501159274,0.282
326,17.3114,0.499042339,0.2794
327,17.3088,0.497832661,0.282
328,17.3064,0.500604839,0.2844
329,17.3088,0.500504032,0.282
330,17.3174,0.497227823,0.2734
331,17.325,0.491028226,0.2658
332,17.3314,0.486693548,0.2594
333,17.3372,0.483316532,0.2536
334,17.3424,0.480443548,0.2484
335,17.3474,0.477923387,0.2434
336,17.352,0.47515121,0.2388
337,17.3562,0.472782258,0.2346
338,17.3602,0.47046371,0.2306
339,17.3642,0.468296371,0.2266
340,17.3678,0.465826613,0.223
341,17.3712,0.463659274,0.2196
342,17.3746,0.462046371,0.2162
343,17.3778,0.459828629,0.213
344,17.3808,0.458417339,0.21
345,17.3836,0.456804435,0.2072
346,17.3866,0.454889113,0.2042
347,17.3892,0.453074597,0.2016
348,17.3918,0.452368952,0.199
349,17.3944,0.45,0.1964
350,17.3968,0.449092742,0.194
351,17.3992,0.448336694,0.1916
352,17.4016,0.445665323,0.1892
353,17.4038,0.44516129,0.187
354,17.406,0.443397177,0.1848
355,17.408,0.441935484,0.1828
356,17.41,0.441028226,0.1808
357,17.412,0.440120968,0.1788
358,17.414,0.438205645,0.1768
359,17.4158,0.437298387,0.175
360,17.4176,0.436743952,0.1732
361,17.4194,0.435131048,0.1714
362,17.4212,0.434576613,0.1696
363,17.423,0.432913306,0.1678
364,17.4246,0.431955645,0.1662
365,17.4262,0.431451613,0.1646
366,17.4278,0.429788306,0.163
367,17.4294,0.42953629,0.1614
368,17.4308,0.428881048,0.16
369,17.4324,0.427419355,0.1584
370,17.4338,0.426663306,0.157
371,17.4352,0.425554435,0.1556
372,17.4366,0.425453629,0.1542
373,17.438,0.4234375,0.1528
374,17.4392,0.423790323,0.1516
375,17.4406,0.422983871,0.1502
376,17.4418,0.422782258,0.149
377,17.4432,0.421421371,0.1476
378,17.4444,0.420010081,0.1464
379,17.4456,0.419606855,0.1452
380,17.4468,0.419052419,0.144
381,17.448,0.418044355,0.1428
382,17.449,0.416834677,0.1418
383,17.4502,0.416280242,0.1406
384,17.4512,0.415372984,0.1396
385,17.4524,0.414465726,0.1384
386,17.4534,0.414364919,0.1374
387,17.4544,0.413810484,0.1364
388,17.4554,0.412399194,0.1354
389,17.4564,0.412046371,0.1344
390,17.4574,0.412752016,0.1334
391,17.4584,0.410836694,0.1324
392,17.4614,0.410332661,0.1294
393,17.4644,0.407308468,0.1264
394,17.4674,0.405292339,0.1234
395,17.47,0.403780242,0.1208
396,17.4726,0.401159274,0.1182
397,17.4752,0.399344758,0.1156
398,17.4776,0.399697581,0.1132
399,17.4798,0.397227823,0.111
400,17.4822,0.395614919,0.1086
401,17.4842,0.394153226,0.1066
402,17.4864,0.393397177,0.1044
403,17.4884,0.391229839,0.1024
404,17.4904,0.390826613,0.1004
405,17.4924,0.389012097,0.0984
406,17.4942,0.387600806,0.0966
407,17.496,0.387197581,0.0948
408,17.4978,0.384022177,0.093
409,17.4996,0.384778226,0.0912
410,17.5012,0.382056452,0.0896
411,17.503,0.382106855,0.0878
412,17.5046,0.379737903,0.0862
413,17.5062,0.379737903,0.0846
414,17.5076,0.377217742,0.0832
415,17.5092,0.377469758,0.0816
416,17.5106,0.375957661,0.0802
417,17.5122,0.375050403,0.0786
418,17.5136,0.3734375,0.0772
419,17.515,0.372731855,0.0758
420,17.5164,0.372227823,0.0744
421,17.5178,0.371270161,0.073
422,17.5192,0.370110887,0.0716
423,17.5204,0.36890121,0.0704
424,17.5218,0.369203629,0.069
425,17.523,0.367086694,0.0678
426,17.5244,0.366078629,0.0664
427,17.5256,0.365725806,0.0652
428,17.5268,0.364364919,0.064
429,17.528,0.363054435,0.0628
430,17.5292,0.362600806,0.0616
431,17.5304,0.361844758,0.0604
432,17.5316,0.361290323,0.0592
433,17.5328,0.360836694,0.058
434,17.5338,0.359122984,0.057
435,17.535,0.359425403,0.0558
436,17.5362,0.358165323,0.0546
437,17.5372,0.357762097,0.0536
438,17.5384,0.357358871,0.0524
439,17.5394,0.355897177,0.0514
440,17.5406,0.35483871,0.0502
441,17.5416,0.354435484,0.0492
442,17.5426,0.353679435,0.0482
443,17.5436,0.352772177,0.0472
444,17.5446,0.352570565,0.0462
445,17.5456,0.350705645,0.0452
446,17.5466,0.351612903,0.0442
447,17.5476,0.349596774,0.0432
448,17.5486,0.350604839,0.0422
449,17.5496,0.348941532,0.0412
450,17.5506,0.348739919,0.0402
451,17.5516,0.347429435,0.0392
452,17.5526,0.34672379,0.0382
453,17.5534,0.345917339,0.0374
454,17.5544,0.345967742,0.0364
455,17.5552,0.345362903,0.0356
456,17.5562,0.344657258,0.0346
457,17.5572,0.342842742,0.0336
458,17.558,0.343800403,0.0328
459,17.5588,0.34233871,0.032
460,17.5598,0.341683468,0.031
461,17.5606,0.342288306,0.0302
462,17.5614,0.340272177,0.0294
463,17.5624,0.340574597,0.0284
464,17.5632,0.339616935,0.0276
465,17.564,0.338558468,0.0268
466,17.5648,0.337903226,0.026
467,17.5656,0.338306452,0.0252
468,17.5666,0.33765121,0.0242
469,17.5674,0.335584677,0.0234
470,17.5682,0.337247984,0.0226
471,17.569,0.335282258,0.0218
472,17.5698,0.335080645,0.021
473,17.5706,0.333719758,0.0202
474,17.5712,0.333165323,0.0196
475,17.572,0.333870968,0.0188
476,17.5728,0.331703629,0.018
477,17.5736,0.331149194,0.0172
478,17.5744,0.33125,0.0164
479,17.575,0.329889113,0.0158
480,17.5758,0.328881048,0.015
481,17.5766,0.329233871,0.0142
482,17.5772,0.329032258,0.0136
483,17.578,0.328881048,0.0128
484,17.5788,0.327066532,0.012
485,17.5794,0.327923387,0.0114
486,17.5802,0.325705645,0.0106
487,17.5808,0.327772177,0.01
488,17.5816,0.324798387,0.0092
489,17.5822,0.325856855,0.0086
490,17.583,0.324193548,0.0078
491,17.5836,0.323790323,0.0072
492,17.5844,0.321774194,0.0064
493,17.585,0.32358871,0.0058
494,17.5856,0.321270161,0.0052
495,17.5864,0.321975806,0.0044
496,17.587,0.321219758,0.0038
497,17.5876,0.320715726,0.0032
498,17.5882,0.320564516,0.0026
499,17.589,0.319808468,0.0018
500,17.5896,0.319657258,0.0012
501,17.5902,0.319657258,0.0006
502,17.5908,0.318548387,0
